Tournament,Stage,Match Type,Team A,Team B,Team A Winrate vs B,Team A Winrate,Team A K/D Ratio,Team A Average Damage,Team A Average Combat Score,Team A Average First Kills,Team A Average First Deaths Per Round,Team B Winrate vs A,Team B Winrate,Team B K/D Ratio,Team B Average Damage,Team B Average Combat Score,Team B Average First Kills,Team B Average First Deaths Per Round,Team A Win
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Quarterfinals,Team Vikings,X10 Esports,100.0,33.33333333333333,1.2034775374376039,131.19,207.27166666666668,4.777038269550749,0.09871666666666667,0.0,42.857142857142854,1.158016877637131,133.14406779661016,209.11723163841808,6.50351617440225,0.09361581920903955,1
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Quarterfinals,Team Liquid,Version1,0.0,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,100.0,50.0,1.1918685121107266,134.8085351787774,212.51441753171858,6.194925028835064,0.09726643598615917,0
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Quarterfinals,Sentinels,FNATIC,75.0,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,25.0,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,1
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 1,X10 Esports,Crazy Raccoon,100.0,42.857142857142854,1.158016877637131,133.14406779661016,209.11723163841808,6.50351617440225,0.09361581920903955,0.0,16.666666666666664,1.1821410891089108,132.03960396039605,205.4740099009901,6.267326732673268,0.09205445544554455,1
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 1,Sharks Esports,KRÜ Esports,0.0,0.0,1.0329911504424778,123.79823008849557,195.43362831858408,5.297345132743363,0.1000353982300885,100.0,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,0
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Semifinals,Sentinels,Team Vikings,100.0,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,0.0,33.33333333333333,1.2034775374376039,131.19,207.27166666666668,4.777038269550749,0.09871666666666667,1
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Semifinals,Version1,NUTURN,0.0,50.0,1.1918685121107266,134.8085351787774,212.51441753171858,6.194925028835064,0.09726643598615917,100.0,50.0,1.216900826446281,132.89256198347107,210.7520661157025,7.31198347107438,0.08919421487603306,0
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 2,FNATIC,X10 Esports,100.0,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,0.0,42.857142857142854,1.158016877637131,133.14406779661016,209.11723163841808,6.50351617440225,0.09361581920903955,1
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 2,Team Liquid,KRÜ Esports,100.0,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,0.0,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,1
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 3,Version1,FNATIC,0.0,50.0,1.1918685121107266,134.8085351787774,212.51441753171858,6.194925028835064,0.09726643598615917,100.0,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,0
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 3,Team Vikings,Team Liquid,0.0,33.33333333333333,1.2034775374376039,131.19,207.27166666666668,4.777038269550749,0.09871666666666667,100.0,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,0
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Upper Final,Sentinels,NUTURN,100.0,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,0.0,50.0,1.216900826446281,132.89256198347107,210.7520661157025,7.31198347107438,0.08919421487603306,1
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Round 4,FNATIC,Team Liquid,66.66666666666666,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,33.33333333333334,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,1
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Lower Final,NUTURN,FNATIC,0.0,50.0,1.216900826446281,132.89256198347107,210.7520661157025,7.31198347107438,0.08919421487603306,100.0,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,0
Valorant Champions Tour Stage 2: Masters Reykjavík,Main Event,Grand Final,Sentinels,FNATIC,75.0,55.932203389830505,1.1193275063538501,131.39356704011564,204.24213950126492,6.361763642934586,0.19513913986266718,25.0,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,1
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex,EDward Gaming,66.66666666666667,62.82051282051282,1.1706334821717297,135.60969044414534,208.84226110363392,5.876985195154778,0.21334051144010768,33.33333333333333,60.317460317460316,1.1070243541830485,132.43890784982935,203.51084710743802,4.126869520371326,0.4042116040955631,1
Valorant Champions 2022,Group Stage,Opening (A),LEVIATÁN,Team Liquid,0.0,33.33333333333333,1.118209912824277,131.47798119742703,201.30826323602176,5.925284512617516,0.2929391390400792,100.0,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,0
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION,LOUD,0.0,36.11111111111111,1.0161056670235653,126.76470588235294,194.70103806228374,5.503105590062112,0.2945674740484429,100.0,50.0,1.100236278115387,131.93910447761195,201.16597014925372,5.804179104477612,0.2851044776119403,0
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming,BOOM Esports,100.0,68.18181818181817,1.064208211143695,130.93108504398828,200.40762463343108,6.69941348973607,0.09063049853372435,0.0,31.25,1.1392617046818727,130.54801920768307,204.71308523409363,5.714285714285714,0.09498199279711886,1
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex,LEVIATÁN,100.0,62.82051282051282,1.1706334821717297,135.60969044414534,208.84226110363392,5.876985195154778,0.21334051144010768,0.0,33.33333333333333,1.118209912824277,131.47798119742703,201.30826323602176,5.925284512617516,0.2929391390400792,0
Valorant Champions 2022,Group Stage,Opening (D),DRX,FURIA,100.0,62.5,1.1244449901768172,130.4926326129666,201.07563850687623,6.37180746561886,0.09578585461689589,0.0,30.0,1.0319872117676254,126.44857881136952,194.70230179028133,4.927365728900256,0.288625322997416,1
Valorant Champions 2022,Group Stage,Opening (D),FNATIC,100 Thieves,50.0,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,50.0,61.904761904761905,1.100479020379397,132.43696450428396,203.64953080375358,5.919755600814664,0.2764422684618523,0
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming,LOUD,50.0,68.18181818181817,1.064208211143695,130.93108504398828,200.40762463343108,6.69941348973607,0.09063049853372435,50.0,50.0,1.100236278115387,131.93910447761195,201.16597014925372,5.804179104477612,0.2851044776119403,1
Valorant Champions 2022,Group Stage,Opening (C),XSET,XERXIA Esports,100.0,42.857142857142854,1.1406679389312977,131.0209923664122,204.125,6.463740458015267,0.0959732824427481,0.0,14.285714285714285,1.0945008460236887,133.7377326565144,203.72250423011843,6.678510998307953,0.096751269035533,1
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix,KRÜ Esports,100.0,42.5,1.1323584054555862,134.66759002770084,205.43783303730018,4.723186470850022,0.209612188365651,0.0,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,1
Valorant Champions 2022,Group Stage,Winner's (D),DRX,100 Thieves,100.0,62.5,1.1244449901768172,130.4926326129666,201.07563850687623,6.37180746561886,0.09578585461689589,0.0,61.904761904761905,1.100479020379397,132.43696450428396,203.64953080375358,5.919755600814664,0.2764422684618523,1
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports,ZETA DIVISION,0.0,31.25,1.1392617046818727,130.54801920768307,204.71308523409363,5.714285714285714,0.09498199279711886,100.0,36.11111111111111,1.0161056670235653,126.76470588235294,194.70103806228374,5.503105590062112,0.2945674740484429,0
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming,Team Liquid,33.33333333333333,60.317460317460316,1.1070243541830485,132.43890784982935,203.51084710743802,4.126869520371326,0.4042116040955631,66.66666666666667,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,0
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports,XERXIA Esports,100.0,38.0,1.0972633759233803,130.55898290954565,201.03709879116298,5.444768653605669,0.22129637348895373,0.0,14.285714285714285,1.0945008460236887,133.7377326565144,203.72250423011843,6.678510998307953,0.096751269035533,1
Valorant Champions 2022,Group Stage,Elimination (D),FURIA,FNATIC,0.0,30.0,1.0319872117676254,126.44857881136952,194.70230179028133,4.927365728900256,0.288625322997416,100.0,60.49382716049383,1.1824035149818148,133.31324921135646,205.19211356466877,6.123343848580442,0.1990410094637224,0
Valorant Champions 2022,Group Stage,Winner's (C),FunPlus Phoenix,XSET,50.0,42.5,1.1323584054555862,134.66759002770084,205.43783303730018,4.723186470850022,0.209612188365651,50.0,42.857142857142854,1.1406679389312977,131.0209923664122,204.125,6.463740458015267,0.0959732824427481,0
Valorant Champions 2022,Group Stage,Decider (A),Paper Rex,Team Liquid,50.0,62.82051282051282,1.1706334821717297,135.60969044414534,208.84226110363392,5.876985195154778,0.21334051144010768,50.0,59.70149253731343,1.1481855197091555,131.06814310051107,202.0664395229983,5.721976149914821,0.15554684838160138,0
