Team,Winrate,Elo,International Elo,LAN Winrate,K/D Ratio,Average Damage,Average Combat Score,Average First Kills,Average First Deaths Per Round,Rating,KAST,Clutch Success,Image Path,Region,id
Nongshim RedForce,66.66666666666666,1634.3847030108577,1586.5007684010325,61.22448979591836,1.149417825839564,128.9330173067673,198.45270812520812,3.727371101121101,0.591840503015503,1.049495401820402,73.04506345506346,33.22228956228956,/static/logos/nongshim-redforce-logo.png,Pacific,53
Nova Esports,66.66666666666666,1555.0349184337908,1500.0,50.0,0.9711009097233447,125.73434616265648,191.14716578909412,3.6297115198043994,1.4001906616136492,0.9504040591470931,70.26463262860045,15.0,/static/logos/nova-esports-logo.png,CN,54
OpTic Gaming,66.66666666666666,1598.3537431106174,1598.3537431106174,56.43564356435643,1.0220571983400157,127.73150232206734,195.2434408384873,4.016814615553006,0.09393489961191201,0.9908311803779296,71.67624089618671,13.453394490499754,/static/logos/optic-gaming-logo.png,AMER,55
PCIFIC Esports,8.333333333333332,1382.5473440389785,1500.0,50.0,0.8532318096526513,115.86216006216006,175.22013727013726,2.558521108521109,0.8087454027454029,0.8744099974099974,65.50299145299145,36.55277777777778,/static/logos/pcific-esports-logo.png,EMEA,56
Papara SuperMassive,33.33333333333333,1485.2664860966088,1485.2664860966088,31.666666666666664,1.045,132.61363636363637,199.23863636363637,3.8409090909090913,0.09869318181818182,1.0027651515151514,71.66477272727273,9.256421356421356,/static/logos/papara-supermassive-logo.png,EMEA,57
Paper Rex,73.33333333333333,1667.6507488679129,1636.0122830498128,61.22448979591836,1.2070830383348825,140.48157320506004,209.4807273807777,3.5778903907696478,1.0695249790514496,1.0718691558656341,72.65362517420374,28.150132275132275,/static/logos/paper-rex-logo.png,Pacific,58
Rex Regum Qeon,26.666666666666668,1442.8905643194403,1423.8406648030657,17.75700934579439,1.0405927322649728,127.36583736524912,193.1026584771438,3.29547339914987,0.7879776541269189,0.9979167340829105,70.51392927334103,33.517467532467535,/static/logos/rex-regum-qeon-logo.png,Pacific,59
Sentinels,26.666666666666668,1494.4520241558243,1502.7592313351352,21.782178217821784,1.0265435973168378,126.52994264994264,193.3299345099345,3.1227857327857325,0.604197705997706,0.9913495171495171,70.77217597217597,29.652142857142856,/static/logos/sentinels-logo.png,AMER,60
Sharks Esports,0.0,1465.629045558359,1465.629045558359,0.0,0.7640259740259739,98.23701298701299,161.21103896103895,2.4902597402597406,0.12954545454545457,0.7870129870129869,57.925324675324674,7.003496503496503,/static/logos/sharks-esports-logo.png,AMER,61
T1,53.333333333333336,1574.327937849517,1517.1888117169444,20.0,1.1606795504287504,134.04614464239464,203.6082164132164,3.684531857031857,2.1009454244829247,1.0600442025567025,73.59930014430014,35.66742424242424,/static/logos/t1-logo.png,Pacific,62
